@relation train1.5.txt

@attribute Area numeric
@attribute Perim. numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute target {rods,puntcua,networks}

@data
294,257,31.6,11.9,44.1,networks
392,343,30.8,16.2,75.9,networks
497,411,51,12.4,64.2,networks
199,146,21.7,11.7,71.5,networks
245,199,20.2,15.4,127,networks
262,229,46.3,7.2,72,networks
250,200,23.3,13.7,114,networks
186,150,24.1,9.82,73,networks
328,299,24.1,17.3,111,networks
259,174,29.2,11.3,70,networks
183,154,40.2,5.78,173,networks
188,135,20.2,11.8,9.54,networks
238,198,23.4,13,5.36,networks
215,158,30.7,8.89,62.2,networks
243,166,28.6,10.8,140,networks
289,183,24.9,14.8,4.11,networks
318,233,47.8,8.46,58.8,networks
358,274,35,13,10.7,networks
179,107,19,12,172,networks
281,240,21.7,16.5,22.1,networks
223,136,51,5.57,40.3,networks
341,263,32.5,13.4,37.3,networks
186,168,21,11.3,57.8,networks
343,311,28.4,15.4,74.8,networks
286,254,30.5,11.9,69.8,networks
184,147,20.9,11.2,71.1,networks
201,166,21.4,12,141,networks
242,196,22.8,13.5,114,networks
183,146,23.8,9.75,72.8,networks
215,212,24.7,11.1,38,networks
252,169,28.4,11.3,69.1,networks
183,140,19.9,11.7,9.67,networks
191,151,17.1,14.2,32.5,networks
199,141,29.7,8.54,65.2,networks
446,430,47.4,12,62.7,networks
201,160,17.1,15,151,networks
181,170,18.5,12.5,107,networks
265,232,28.7,11.8,163,networks
262,199,21,15.9,12.6,networks
204,139,56,4.65,118,networks
255,172,26.3,12.4,40,networks
196,169,24.6,10.1,146,networks
194,138,33.6,7.36,88.9,networks
196,122,23.7,10.5,49,networks
204,194,31.2,8.34,50.3,networks
210,151,22,12.1,123,networks
189,128,30.9,7.8,98.2,networks
270,228,61.3,5.62,90.7,networks
311,215,27.9,14.2,55.5,networks
287,165,27.3,13.4,59.9,networks
196,154,38.3,6.51,124,networks
177,134,19.8,11.4,60.6,networks
218,158,36.7,7.57,59.7,networks
622,468,35.2,22.5,54.9,networks
199,130,25,10.1,58,networks
328,209,26.8,15.5,100,networks
177,126,40.9,5.53,162,networks
